          Index             Ts             Tr          Value
                          [°C]           [°C]           [mW]
            674            0.0        137.333       -2.07534
            675            0.0          137.5       -2.07641
            676            0.0        137.667       -2.07762
            677            0.0        137.833       -2.07873
            678            0.0            138       -2.07982
            679            0.0        138.167       -2.08091
            680            0.0        138.333       -2.08199
            681            0.0          138.5       -2.08308
            682            0.0        138.667       -2.08416
            683            0.0        138.833       -2.08523
            684            0.0            139       -2.08629
            685            0.0        139.167       -2.08736
            686            0.0        139.333       -2.08841
            687            0.0          139.5       -2.08946
            688            0.0        139.667       -2.09052
            689            0.0        139.833       -2.09159
            690            0.0            140       -2.09266
            691            0.0        140.167       -2.09371
            692            0.0        140.333       -2.09473
            693            0.0          140.5       -2.09571
            694            0.0        140.667       -2.09668
            695            0.0        140.833       -2.09764
            696            0.0            141       -2.09856
            697            0.0        141.167       -2.09954
            698            0.0        141.333       -2.10054
            699            0.0          141.5       -2.10154
            700            0.0        141.667       -2.10261
            701            0.0        141.833       -2.10364
            702            0.0            142       -2.10466
            703            0.0        142.167       -2.10567
            704            0.0        142.333       -2.10662
            705            0.0          142.5       -2.10754
            706            0.0        142.667       -2.10844
            707            0.0        142.833       -2.10933
            708            0.0            143       -2.11019
            709            0.0        143.167       -2.11109
            710            0.0        143.333         -2.112
            711            0.0          143.5       -2.11292
            712            0.0        143.667       -2.11393
            713            0.0        143.833       -2.11491
            714            0.0            144        -2.1159
            715            0.0        144.167        -2.1169
            716            0.0        144.333       -2.11793
            717            0.0          144.5       -2.11892
            718            0.0        144.667       -2.11989
            719            0.0        144.833       -2.12085
            720            0.0            145       -2.12173
            721            0.0        145.167       -2.12262
            722            0.0        145.333       -2.12351
            723            0.0          145.5       -2.12439
            724            0.0        145.667       -2.12523
            725            0.0        145.833       -2.12609
            726            0.0            146       -2.12697
            727            0.0        146.167       -2.12785
            728            0.0        146.333       -2.12882
            729            0.0          146.5        -2.1298
            730            0.0        146.667       -2.13081
            731            0.0        146.833       -2.13182
            732            0.0            147       -2.13293
            733            0.0        147.167         -2.134
            734            0.0        147.333       -2.13506
            735            0.0          147.5        -2.1361
            736            0.0        147.667       -2.13715
            737            0.0        147.833       -2.13822
            738            0.0            148       -2.13931
            739            0.0        148.167       -2.14039
            740            0.0        148.333       -2.14145
            741            0.0          148.5       -2.14249
            742            0.0        148.667       -2.14353
            743            0.0        148.833       -2.14457
            744            0.0            149        -2.1456
            745            0.0        149.167       -2.14666
            746            0.0        149.333       -2.14774
            747            0.0          149.5        -2.1488
            748            0.0        149.667       -2.14987
            749            0.0        149.833       -2.15091
            750            0.0            150       -2.15195
            751            0.0        150.167       -2.15299
            752            0.0        150.333         -2.154
            753            0.0          150.5       -2.15502
            754            0.0        150.667       -2.15605
            755            0.0        150.833       -2.15709
            756            0.0            151       -2.15815
            757            0.0        151.167       -2.15921
            758            0.0        151.333       -2.16036
            759            0.0          151.5       -2.16165
            760            0.0        151.667       -2.16286
            761            0.0        151.833       -2.16414
            762            0.0            152       -2.16586
            763            0.0        152.167       -2.16831
            764            0.0        152.333       -2.17755
            765            0.0          152.5       -2.18655
            766            0.0        152.667       -2.19355
            767            0.0        152.833       -2.19692
            768            0.0            153       -2.19708
            769            0.0        153.167       -2.19674
            770            0.0        153.333       -2.19632
            771            0.0          153.5       -2.19632
            772            0.0        153.667        -2.1961
            773            0.0        153.833       -2.19597
            774            0.0            154       -2.19594
            775            0.0        154.167       -2.19596
            776            0.0        154.333       -2.19623
            777            0.0          154.5       -2.19646
            778            0.0        154.667       -2.19674
            779            0.0        154.833       -2.19706
            780            0.0            155       -2.19764
            781            0.0        155.167       -2.19818
            782            0.0        155.333       -2.19878
            783            0.0          155.5       -2.19943
            784            0.0        155.667       -2.20027
            785            0.0        155.833       -2.20104
            786            0.0            156       -2.20184
            787            0.0        156.167       -2.20266
            788            0.0        156.333       -2.20358
            789            0.0          156.5       -2.20448
            790            0.0        156.667       -2.20539
            791            0.0        156.833       -2.20631
            792            0.0            157       -2.20731
            793            0.0        157.167       -2.20832
            794            0.0        157.333       -2.20935
            795            0.0          157.5       -2.21039
            796            0.0        157.667       -2.21148
            797            0.0        157.833       -2.21255
            798            0.0            158       -2.21365
            799            0.0        158.167       -2.21476
            800            0.0        158.333       -2.21586
            801            0.0          158.5       -2.21697
            802            0.0        158.667       -2.21812
            803            0.0        158.833       -2.21931
            804            0.0            159       -2.22059
            805            0.0        159.167       -2.22182
            806            0.0        159.333       -2.22304
            807            0.0          159.5       -2.22426
            808            0.0        159.667       -2.22555
            809            0.0        159.833       -2.22681
            810            0.0            160       -2.22804
            811            0.0        160.167       -2.22925
